length,maxspeed,lanes,highway
78.432,25 mph,3,secondary
7.999,,4,primary
30.322,,,secondary
176.286,,4,primary
23.33,,,secondary
77.385,,2,secondary
78.327,,2,secondary
243.482,,,residential
78.92599999999999,,2,secondary
78.327,,2,secondary
228.41599999999997,,,residential
85.22800000000001,,2,secondary
78.92599999999999,,2,secondary
210.09699999999998,,2,secondary
85.22800000000001,,2,secondary
121.149,,3,primary
119.906,,"['2', '3']",primary
119.605,,,tertiary
121.86699999999999,,,tertiary
176.294,,2,secondary
210.09699999999998,,2,secondary
119.13800000000002,,,tertiary
176.294,,2,secondary
176.672,,4,secondary
122.114,,,tertiary
131.061,,4,secondary
118.85,,,primary
122.11399999999999,,,primary
176.672,,4,secondary
90.487,,,tertiary
129.421,,,secondary
118.76199999999999,,,tertiary
131.061,,4,secondary
27.281,,2,primary
156.828,,2,primary
129.421,,,secondary
78.598,,,tertiary
88.289,,,residential
78.598,,,tertiary
49.231,,,residential
79.327,,,tertiary
80.69900000000001,,,tertiary
79.327,,,tertiary
83.188,,,residential
151.70299999999997,,,tertiary
80.69900000000001,,,tertiary
12.056,,,tertiary
52.391,,,tertiary
151.703,,,tertiary
974.4369999999998,25 mph,"['4', '2', '3']",secondary
85.70899999999999,25 mph,4,secondary
274.23400000000004,25 mph,"['4', '2', '3']",secondary
324.59600000000006,25 mph,"['4', '5']",secondary
18.594,,,primary
286.14500000000004,,,primary
167.53099999999998,,3,primary
234.83599999999998,,,residential
75.553,,,residential
106.743,,1,residential
99.025,,,residential
87.905,,1,residential
66.408,25 mph,2,residential
80.51999999999998,25 mph,1,residential
220.32800000000003,25 mph,1,residential
78.25600000000001,,4,secondary
217.17600000000002,25 mph,3,secondary
79.29200000000002,,4,secondary
79.292,,4,secondary
81.139,,4,secondary
70.685,25 mph,2,secondary
214.65299999999996,,2,tertiary
54.182,25 mph,2,tertiary
81.139,,4,secondary
78.104,,"['4', '5']",secondary
79.91,,6,secondary
78.10399999999998,,"['4', '5']",secondary
79.91,,6,secondary
79.70500000000001,,6,secondary
215.36999999999998,25 mph,1,tertiary
79.70500000000001,,6,secondary
79.00699999999999,,6,secondary
214.34300000000002,25 mph,1,residential
79.007,,6,secondary
79.55999999999999,,4,secondary
132.267,,"['2', '3']",unclassified
79.56000000000002,,4,secondary
79.039,,4,secondary
215.52200000000002,,,residential
79.039,,4,secondary
79.30900000000001,,4,secondary
62.989,,2,unclassified
79.30899999999998,,4,secondary
81.148,,4,secondary
215.974,25 mph,1,tertiary
85.992,,2,secondary
81.148,,4,secondary
181.73899999999998,,2,residential
216.717,,4,secondary
85.992,,2,secondary
86.653,,4,secondary
178.94299999999998,25 mph,2,tertiary
216.804,25 mph,1,residential
80.064,,4,secondary
86.653,,4,secondary
216.82299999999998,,,residential
81.01,,4,secondary
80.06400000000001,,4,secondary
225.924,,,residential
216.25099999999998,,,residential
81.148,,4,secondary
81.01,,4,secondary
218.558,,2,residential
80.799,,4,secondary
81.148,,4,secondary
222.865,25 mph,1,residential
214.97599999999997,25 mph,1,residential
80.12599999999999,,4,secondary
80.799,,4,secondary
80.12599999999999,,4,secondary
86.85,,4,secondary
86.38499999999999,,4,secondary
86.85,,4,secondary
216.01,25 mph,"['4', '2', '3']",secondary
227.99900000000002,25 mph,"['4', '2', '3']",secondary
226.897,,,residential
80.437,,4,secondary
86.38499999999999,,4,secondary
216.87199999999999,,,residential
80.58,,4,secondary
80.43699999999998,,4,secondary
226.9,,,residential
80.30000000000001,,4,secondary
80.58,,4,secondary
216.936,,,residential
81.176,,4,secondary
80.30000000000001,,4,secondary
226.68300000000002,,,residential
80.119,,4,secondary
81.176,,4,secondary
216.96,,,residential
87.28999999999999,,4,secondary
80.119,,4,secondary
87.28999999999999,,4,secondary
85.101,25 mph,4,secondary
225.911,25 mph,4,residential
217.18599999999998,25 mph,"['4', '3']",secondary
216.767,,,residential
85.10100000000001,25 mph,4,secondary
79.563,25 mph,4,secondary
223.911,25 mph,,residential
79.563,25 mph,4,secondary
81.927,25 mph,4,secondary
216.006,25 mph,1,residential
81.927,25 mph,4,secondary
77.937,25 mph,4,secondary
77.93699999999998,25 mph,4,secondary
83.92699999999999,"['4 mph', '25 mph']","['4', '5']",secondary
296.14,25 mph,1,residential
215.839,25 mph,1,residential
83.92699999999999,"['4 mph', '25 mph']","['4', '5']",secondary
68.485,25 mph,"['5', '6']",secondary
27.585,,2,secondary
34.038,,1,motorway_link
77.302,25 mph,"['4', '3']",primary
271.69399999999996,,,residential
87.104,,"['5', '3']",primary
18.204,,,residential
80.197,25 mph,3,primary
105.00999999999999,,,residential
78.875,25 mph,2,tertiary
87.289,25 mph,3,tertiary
157.10799999999998,,,residential
88.02000000000001,,2,secondary
80.12899999999999,,2,secondary
40.081,,4,secondary
79.29799999999999,,4,secondary
139.633,25 mph,,residential
89.297,25 mph,2,tertiary
79.11599999999999,25 mph,2,tertiary
133.95700000000002,25 mph,,residential
79.371,25 mph,2,secondary
88.307,25 mph,2,secondary
118.768,25 mph,,residential
89.279,,,tertiary
79.396,,,tertiary
89.31700000000001,25 mph,,residential
90.976,,4,primary
86.109,,4,primary
114.495,20 mph,,residential
85.41399999999999,20 mph,,residential
83.748,20 mph,,residential
56.163,25 mph,1,residential
92.937,,,residential
79.96199999999999,20 mph,2,secondary
8.329,20 mph,2,secondary
109.67500000000001,20 mph,,residential
103.08,20 mph,,residential
224.23600000000002,20 mph,,residential
254.57000000000002,20 mph,,residential
327.719,20 mph,,residential
86.893,20 mph,,residential
145.50900000000001,25 mph,"['3', '1']",residential
78.169,,1,living_street
138.397,25 mph,,residential
77.8,,1,living_street
190.487,25 mph,,residential
92.98299999999999,25 mph,1,residential
78.374,,1,living_street
86.9,5 mph,1,living_street
245.35000000000002,25 mph,,residential
43.854,25 mph,5,secondary
110.963,25 mph,5,secondary
87.543,5 mph,1,living_street
84.962,25 mph,3,secondary
261.156,25 mph,1,residential
200.68200000000002,25 mph,2,residential
139.918,25 mph,,residential
84.751,,1,living_street
200.49099999999999,25 mph,,tertiary
84.279,,1,living_street
79.595,25 mph,,tertiary
85.068,,1,living_street
223.091,,2,residential
85.596,25 mph,1,residential
81.77,,3,secondary
165.038,25 mph,2,secondary
83.296,25 mph,1,residential
132.932,,,residential
79.329,25 mph,1,residential
85.25899999999999,5 mph,1,living_street
120.655,,2,residential
178.75,,,residential
74.36,,,residential
82.15,25 mph,1,residential
87.6,25 mph,1,residential
50.291000000000004,25 mph,,primary
222.63500000000002,25 mph,"['4', '5']",primary
79.937,25 mph,4,secondary
274.598,,1,secondary
224.58200000000002,25 mph,1,residential
62.301,,3,residential
80.512,5 mph,1,living_street
197.239,25 mph,1,secondary
85.056,5 mph,1,living_street
81.625,,2,secondary
80.19400000000002,,1,tertiary
189.839,,1,residential
79.029,,2,tertiary
88.38700000000001,25 mph,2,residential
80.612,,2,tertiary
177.308,,2,secondary
77.681,,"['2', '3']",tertiary
104.86000000000001,,2,secondary
81.887,,2,tertiary
83.797,,"['2', '3']",tertiary
150.64799999999997,,1,residential
78.166,,2,tertiary
